symbol,days,avg_close,std_close,min_close,max_close,total_return_%,ann_volatility_%,sharpe_ratio,max_drawdown_%,positive_day_%,avg_daily_range_%,avg_volume,med_volume,start,end
BAJFINANCE,2402,525.75,270.7,76.54,1091.15,782.9,35.8,0.64,-62.5,51.7,2.81,18764667,11095600,2016-10-03,2026-06-16
BANDHANBNK,2036,306.12,135.61,130.0,729.7,-55.0,46.8,-0.21,-82.2,48.2,3.63,8512628,6612048,2018-03-27,2026-06-18
BANKBARODA,2383,157.59,71.04,36.5,324.25,66.3,40.5,0.13,-81.4,49.9,3.4,23131074,17287365,2016-10-03,2026-06-17
BANKINDIA,2403,95.73,37.32,31.35,207.85,26.4,43.3,0.06,-84.9,48.6,3.71,9043265,6554164,2016-10-03,2026-06-17
BEL,2404,160.5,112.3,28.88,469.6,252.4,50.6,0.26,-84.7,50.8,3.15,13902510,10143091,2016-10-03,2026-06-16
BERGEPAINT,2363,476.0,156.16,180.25,864.95,104.0,29.1,0.26,-53.3,50.8,2.72,1010036,742714,2016-10-03,2026-06-19
BHARATFORG,2403,827.27,387.46,218.5,2033.1,332.3,35.2,0.44,-72.3,50.2,3.12,1631937,1244183,2016-10-03,2026-06-17
BHARTIARTL,2402,822.84,551.31,262.28,2165.0,533.9,28.8,0.67,-47.5,49.7,2.65,9172422,6155877,2016-10-03,2026-06-16
BHEL,2403,118.51,88.96,19.85,423.0,328.8,43.7,0.35,-83.4,50.3,3.7,25173209,15204309,2016-10-03,2026-06-17
BIOCON,2403,307.83,74.21,141.23,483.6,156.2,33.3,0.3,-58.9,50.2,3.01,4442736,3221418,2016-10-03,2026-06-17
BOSCHLTD,2362,21319.72,7789.26,8357.45,41500.0,71.9,29.1,0.2,-66.6,48.8,2.65,32463,21864,2016-10-03,2026-06-17
BPCL,2344,228.11,57.72,128.6,388.2,52.0,34.9,0.13,-52.6,49.6,2.88,11951210,9115349,2016-10-03,2026-06-17
BRITANNIA,2344,3801.81,1258.04,1403.65,6452.15,199.1,23.3,0.51,-38.0,51.3,2.18,408820,313147,2016-10-03,2026-06-17
BSE,2320,638.01,924.92,31.48,4420.0,1023.5,54.9,0.48,-91.7,47.6,3.35,3054460,1469359,2017-02-03,2026-06-17
CANBK,2383,171.99,93.69,34.91,439.9,-56.3,66.9,-0.13,-92.1,50.9,3.45,21267742,14828169,2016-10-03,2026-06-17
CDSL,2136,616.03,500.32,92.85,1964.0,951.2,39.0,0.71,-58.2,46.7,3.29,2198863,1198418,2017-06-30,2026-06-19
CGPOWER,2361,249.89,255.22,4.9,852.7,883.0,47.8,0.51,-95.0,48.6,4.03,3811815,2208405,2016-10-03,2026-04-17
CHOLAFIN,2364,714.62,509.37,122.1,1800.0,611.4,41.9,0.5,-64.9,49.6,3.58,2593210,1562414,2016-10-03,2026-06-17
CIPLA,2402,932.86,372.81,374.7,1683.0,133.5,25.6,0.35,-44.3,48.3,2.37,2656893,1699008,2016-10-03,2026-06-16
COALINDIA,2402,272.76,105.98,110.55,540.3,37.5,29.9,0.11,-66.8,49.4,2.56,9511090,7142144,2016-10-03,2026-06-16
COFORGE,2365,748.88,540.15,79.15,1973.0,1572.9,40.8,0.74,-57.0,52.2,3.41,2923777,1905400,2016-10-03,2026-06-19
COLPAL,2290,1704.57,624.05,878.9,3840.0,105.9,23.5,0.34,-53.3,49.0,2.21,480865,371044,2016-10-03,2026-06-19
CONCOR,2405,490.16,126.85,223.48,941.6,32.1,33.0,0.09,-56.4,49.6,3.02,1920842,1356523,2016-10-03,2026-06-19
CUMMINSIND,2343,1650.27,1311.17,287.15,6069.0,528.4,31.5,0.63,-73.1,51.2,3.01,710868,488894,2016-10-03,2026-06-17
DABUR,2403,476.61,95.71,259.95,666.4,55.0,22.9,0.2,-38.5,50.1,2.17,2301841,1850855,2016-10-03,2026-06-17
DIVISLAB,2402,3298.08,1848.55,545.3,6986.0,411.2,32.0,0.53,-58.0,51.2,2.7,789975,495201,2016-10-03,2026-06-17
DIXON,2130,5737.33,5041.75,374.38,18917.95,342.8,68.1,0.26,-91.5,51.7,3.57,338062,245823,2017-09-18,2026-06-18
DLF,2403,392.75,243.52,105.15,949.55,306.6,40.8,0.36,-55.3,52.4,3.49,7568726,5761201,2016-10-03,2026-06-17
DMART,2248,2973.01,1290.93,614.4,5397.85,566.7,31.3,0.68,-39.3,50.5,2.85,657568,414812,2017-03-21,2026-06-17
DRREDDY,2403,868.54,300.44,378.61,1411.6,102.1,25.5,0.29,-43.7,50.0,2.31,3268634,2204184,2016-10-03,2026-06-16
EICHERMOT,2401,3384.91,1497.37,1268.01,8224.0,192.8,30.7,0.37,-61.4,50.2,2.68,881310,608715,2016-10-03,2026-06-16
ENRIN,246,3049.85,344.87,2124.0,3838.4,36.9,35.9,0.9,-40.9,48.6,3.57,732172,461358,2025-06-19,2026-06-17
ETERNAL,1214,166.79,89.41,41.65,355.4,101.2,47.0,0.31,-74.0,49.7,4.02,59516491,43088337,2021-07-23,2026-06-16
FEDERALBNK,2303,125.24,59.63,37.35,322.2,331.4,35.6,0.45,-70.5,50.5,2.99,15114813,10905358,2016-10-03,2026-06-18
FORTIS,2343,327.15,250.79,113.5,1098.0,447.3,35.4,0.52,-50.0,47.6,3.32,2974994,1469191,2016-10-03,2026-06-18
FSL,2325,139.62,107.94,25.0,406.7,477.2,44.2,0.43,-69.9,48.3,4.05,3588511,2281432,2016-10-03,2026-06-18
GAIL,2385,128.29,43.35,46.27,241.15,61.3,35.0,0.14,-75.9,50.8,2.93,16175992,12592596,2016-10-03,2026-06-17
GMRINFRA,1012,68.79,42.45,14.55,163.84,123.7,54.1,0.37,-68.1,45.4,4.8,2870337,1666115,2022-03-23,2026-06-18
GODREJCP,2403,877.24,243.46,434.05,1515.0,86.9,28.7,0.23,-55.2,49.8,2.69,1239522,963163,2016-10-03,2026-06-17
GODREJIND,2405,629.84,247.73,235.45,1359.9,149.3,33.1,0.29,-65.9,48.9,3.27,346685,199810,2016-10-03,2026-06-19
GODREJPROP,2365,1387.06,721.54,293.6,3380.0,409.9,40.9,0.42,-59.5,51.2,3.55,691304,502905,2016-10-03,2026-06-18
GRASIM,2402,1545.6,737.64,400.1,3172.0,301.0,29.3,0.5,-69.1,51.3,2.66,1245383,913613,2016-10-03,2026-06-16
HAL,2034,1994.3,1573.62,479.25,5628.0,295.8,43.8,0.39,-58.3,49.1,3.15,1255475,958156,2018-03-28,2026-06-17
HCLTECH,2402,966.45,453.06,379.18,1997.1,187.0,26.3,0.42,-44.4,52.4,2.35,3878256,3061277,2016-10-03,2026-06-16
HDFCAMC,1944,1521.58,604.47,634.45,2942.5,198.8,32.3,0.44,-55.6,50.3,2.73,944410,677845,2018-08-06,2026-06-17
HDFCBANK,2402,675.29,179.81,291.38,1012.95,143.9,22.9,0.41,-41.1,51.9,1.8,20717382,15356597,2016-10-03,2026-06-16
HDFCLIFE,2122,589.27,109.49,342.3,812.7,66.9,29.1,0.21,-46.2,48.8,2.55,3587875,2693359,2017-11-17,2026-06-16
HEROMOTOCO,2302,3438.19,995.54,1553.5,6340.5,48.6,28.6,0.15,-61.6,50.4,2.5,732569,563023,2016-10-03,2026-04-17
HINDALCO,2402,406.27,227.48,87.9,1150.5,538.5,37.3,0.52,-68.6,52.1,3.07,9681083,7838404,2016-10-03,2026-06-16
